Time Flux
1683.4058487728705 0.03671377216288665
1683.4266822902175 -135.79279333764404
1683.4475158710595 
1683.468349325705 -110.03270017283447
1683.4891828438028 -351.31446158514285
1683.5100163621205 -301.91167574990374
1683.53084988062 -461.8189208721728
1683.5516833992945 -381.94589067479546
1683.5725169181287 -783.0617796362051
1683.5933504371076 -703.0581826749899
1683.614183956218 -481.2930543829689
1683.6350175370603 
1683.6558510256423 
1683.6766845142242 -640.714451139354
1683.697518033742 -411.5054685901932
1683.7183515533347 -536.7559507512963
1683.7391850729955 -438.2052023697836
1683.760018592724 -310.3057791678992
1683.7808521124944 260.3389209167901
1683.8016856323072 -65.90493632447694
1683.8225191521583 163.92604355288233
1683.8433526720382 -238.04600210076055
1683.8641861919543 -80.28089751788283
1683.8850197118777 -309.49344368700645
1683.9058532927197 
1683.9266867517629 -230.88586498785023
1683.9475202717151 -36.0979718497018
1683.9683537916662 146.46247605049976
1683.9891873116255 133.74243859709907
1684.0100208315655 292.7814672465871
1684.0308543514973 288.83573959704125
1684.0516878714127 325.9887490541507
1684.0725213913136 -148.5340697193292
1684.0933549111928 -22.86780340681351
1684.114188431062 -143.33687034434587
1684.1350219508945 230.7685284441609
1684.1558554707024 -110.81902556957692
1684.1766889904795 -81.08405975906089
1684.197522510228 -53.44230664614962
1684.2183560299416 198.91040041879307
1684.2391895496332 -150.19582915091652
1684.2600230692767 388.47165601630735
1684.2808565888859 -403.55909430723455
1684.3016901084538 -280.6108070056531
1684.3225236279843 32.41949822974064
1684.3433571474723 148.77286468758095
1684.36419066693 455.12092633681834
1684.385024186333 411.5226941632089
1684.4058577056949 14.658465047973088
1684.4266912250096 -178.86483464328134
1684.4475247442815 -135.82780028369635
1684.4683582635155 245.29650800004907
1684.4891917826951 310.78537414962915
1684.5100253018259 83.90592293665085
1684.5308588209111 389.66753201199776
1684.551692339946 322.7576289813472
1684.5725258589353 61.058797676545375
1684.5933593778834 -105.96630659361035
1684.6141928967747 -93.77559394016745
1684.635026415615 96.46164261798077
1684.6558599344075 -89.73363516969398
1684.6766934531488 402.90161116107714
1684.6975269718423 170.224194866316
1684.7183604904935 204.07750093490623
1684.7391940090877 -49.66053976439872
1684.760027527629 -5.352653718980268
1684.7808610461225 -390.3922619464997
1684.8016945645736 -106.1258905866766
1684.8225280829668 141.3309614590085
1684.843361601308 -31.080672664955635
1684.8641951196012 133.63733753301267
1684.8850286378424 -290.99057971447945
